question,option_a,option_b,option_c,option_d,option_e,option_f,correct_option,marks,explanation
"Which organ is responsible for filtering blood?","Heart","Lungs","Kidney","Liver","","","c",1,"The kidneys filter waste products from the blood and produce urine."
"What is the normal body temperature in Celsius?","36.1°C","37°C","38°C","35°C","","","b",1,"The average normal body temperature is 37°C (98.6°F)."
"Which vitamin deficiency causes Scurvy?","Vitamin A","Vitamin B","Vitamin C","Vitamin D","","","c",1,"Scurvy is caused by a deficiency of Vitamin C (ascorbic acid)."
"The smallest bone in the human body is located in the?","Nose","Ear","Finger","Toe","","","b",1,"The stapes in the middle ear is the smallest bone in the human body."
"Which part of the brain controls balance and coordination?","Cerebrum","Cerebellum","Medulla","Pons","","","b",1,"The cerebellum controls balance, coordination, and fine motor skills."
"What is the normal range of RBC count in males (million/µL)?","2.5-3.5","3.5-4.5","4.5-5.5","5.5-6.5","","","c",1,"Normal RBC count for males is approximately 4.5 to 5.5 million per µL."
"Which hormone is secreted by the pancreas?","Thyroxine","Insulin","Adrenaline","Melatonin","","","b",1,"Insulin is produced by the beta cells of the islets of Langerhans in the pancreas."
"Hemoglobin is a protein rich in?","Calcium","Iron","Zinc","Copper","","","b",1,"Hemoglobin contains iron which binds to oxygen for transport in the blood."
"The largest artery in the human body is?","Pulmonary artery","Femoral artery","Aorta","Carotid artery","","","c",1,"The aorta is the largest artery, carrying oxygenated blood from the heart."
"Which type of muscle is found in the heart?","Skeletal muscle","Smooth muscle","Cardiac muscle","Voluntary muscle","","","c",1,"Cardiac muscle (myocardium) is a specialized involuntary striated muscle found only in the heart."
